1,اسکو,1,2024-09-04 06:36:36.692767+00,t,
2,اهر,1,2024-09-04 06:36:36.692767+00,t,
3,ایلخچی,1,2024-09-04 06:36:36.692767+00,t,
4,آبش احمد,1,2024-09-04 06:36:36.692767+00,t,
5,آذرشهر,1,2024-09-04 06:36:36.692767+00,t,
6,آقکند,1,2024-09-04 06:36:36.692767+00,t,
7,باسمنج,1,2024-09-04 06:36:36.692767+00,t,
8,بخشایش,1,2024-09-04 06:36:36.692767+00,t,
9,بستان آباد,1,2024-09-04 06:36:36.692767+00,t,
10,بناب,1,2024-09-04 06:36:36.692767+00,t,
11,بناب جدید,1,2024-09-04 06:36:36.692767+00,t,
12,تبریز,1,2024-09-04 06:36:36.692767+00,t,
13,ترک,1,2024-09-04 06:36:36.692767+00,t,
14,ترکمانچای,1,2024-09-04 06:36:36.692767+00,t,
15,تسوج,1,2024-09-04 06:36:36.692767+00,t,
16,تیکمه داش,1,2024-09-04 06:36:36.692767+00,t,
17,جلفا,1,2024-09-04 06:36:36.692767+00,t,
18,خاروانا,1,2024-09-04 06:36:36.692767+00,t,
19,خامنه,1,2024-09-04 06:36:36.692767+00,t,
20,خراجو,1,2024-09-04 06:36:36.692767+00,t,
21,خسروشهر,1,2024-09-04 06:36:36.692767+00,t,
22,خضرلو,1,2024-09-04 06:36:36.692767+00,t,
23,خمارلو,1,2024-09-04 06:36:36.692767+00,t,
24,خواجه,1,2024-09-04 06:36:36.692767+00,t,
25,دوزدوزان,1,2024-09-04 06:36:36.692767+00,t,
26,زرنق,1,2024-09-04 06:36:36.692767+00,t,
27,زنوز,1,2024-09-04 06:36:36.692767+00,t,
28,سراب,1,2024-09-04 06:36:36.692767+00,t,
29,سردرود,1,2024-09-04 06:36:36.692767+00,t,
30,سهند,1,2024-09-04 06:36:36.692767+00,t,
31,سیس,1,2024-09-04 06:36:36.692767+00,t,
32,سیه رود,1,2024-09-04 06:36:36.692767+00,t,
33,شبستر,1,2024-09-04 06:36:36.692767+00,t,
34,شربیان,1,2024-09-04 06:36:36.692767+00,t,
35,شرفخانه,1,2024-09-04 06:36:36.692767+00,t,
36,شندآباد,1,2024-09-04 06:36:36.692767+00,t,
37,صوفیان,1,2024-09-04 06:36:36.692767+00,t,
38,عجب شیر,1,2024-09-04 06:36:36.692767+00,t,
39,قره آغاج,1,2024-09-04 06:36:36.692767+00,t,
40,کشکسرای,1,2024-09-04 06:36:36.692767+00,t,
41,کلوانق,1,2024-09-04 06:36:36.692767+00,t,
42,کلیبر,1,2024-09-04 06:36:36.692767+00,t,
43,کوزه کنان,1,2024-09-04 06:36:36.692767+00,t,
44,گوگان,1,2024-09-04 06:36:36.692767+00,t,
45,لیلان,1,2024-09-04 06:36:36.692767+00,t,
46,مراغه,1,2024-09-04 06:36:36.692767+00,t,
47,مرند,1,2024-09-04 06:36:36.692767+00,t,
48,ملکان,1,2024-09-04 06:36:36.692767+00,t,
49,ملک کیان,1,2024-09-04 06:36:36.692767+00,t,
50,ممقان,1,2024-09-04 06:36:36.692767+00,t,
51,مهربان,1,2024-09-04 06:36:36.692767+00,t,
52,میانه,1,2024-09-04 06:36:36.692767+00,t,
53,نظرکهریزی,1,2024-09-04 06:36:36.692767+00,t,
